"","Report date","Company code","Fiscal year","Earnings","Cash Flow","Leverage Ratio(Book-based)","Leverage Ration(Market-based)"
"1370",2017-03-31,30170,2016,319.564,205.615,0.235939994741675,1.7951963807007
"1371",2017-03-31,30262,2016,1.55,1.957,0.34947619047619,NA
"1372",2011-03-31,30310,2010,41.412,-2.89,0.243487672570413,NA
"1373",2012-03-31,30310,2011,14.102,2.34399999999999,0.240128814841863,NA
"1374",2013-03-31,30310,2012,22.225,6.53,0.19186433421289,NA
"1375",2013-03-31,30554,2012,266.206,1.393,0.025843186015998,3.32817409519376
"1376",2014-03-31,30554,2013,360.387,-19.115,0.0139071424567261,2.89075902249555
"1377",2015-03-31,30554,2014,484.257,303.789,0.00338829920385327,1.70271833429728
"1378",2016-03-31,30554,2015,540.932,95.059,0,0
"1379",2017-03-31,30554,2016,456.356,24.86,0,0
"1380",2017-03-31,30560,2016,21.64,2.452,0.383567578353712,14.6337774216167
"1381",2011-03-31,30714,2010,10.018,0.52,0.0205881075446293,Inf
"1382",2012-03-31,30714,2011,16.437,10.034,0.0146026133591443,NA
"1383",2013-03-31,30714,2012,17.794,-13.744,0.013937210499228,NA
"1384",2014-03-31,30714,2013,16.249,7,0.0131471972614463,NA
"1385",2015-03-31,30714,2014,8.634,-3.944,0.0116507824325821,NA
"1386",2016-03-31,30714,2015,5.341,9.359,0.01155734995514,NA
"1387",2017-03-31,30714,2016,1.445,-8.343,0.000327621981710647,NA
"1388",2011-03-31,30727,2010,4.882,-4.669,0.192500639557738,NA
"1389",2011-03-31,30857,2010,-39.527,5.731,NA,NA
"1390",2012-03-31,30857,2011,-23.407,47.619,NA,NA
"1391",2013-03-31,30857,2012,0.662,12.949,NA,NA
"1392",2014-03-31,30857,2013,-0.836,17.908,NA,NA
"1393",2015-03-31,30857,2014,0.364,-71.562,NA,NA
"1394",2016-03-31,30857,2015,-0.17,12.668,NA,NA
"1395",2017-03-31,30857,2016,-2.853,-4.502,NA,NA
"1396",2011-05-31,31846,2010,476.3,-178.3,0.267917901437822,42.6997084548105
"1397",2012-05-31,31846,2011,475.5,1.13686837721616e-13,0.312842771104606,45.3560975609756
"1398",2013-05-31,31846,2012,411.9,17.6999999999999,0.36768585391169,95.1716417910448
"1399",2014-05-31,31846,2013,286.2,10.1,0.359218105257228,126.900497512438
"1400",2015-05-31,31846,2014,709.5,437.6,0.266418669825012,113.269503546099
"1401",2016-05-31,31846,2015,375,-261.1,0.123947104263955,53.0841121495327
"1402",2017-05-31,31846,2016,479.1,-41.6999999999999,0.199157007376185,267.365853658537
"1403",2011-03-31,61030,2010,-8.114,0.515,0,0
"1404",2012-03-31,61030,2011,-1.461,-2.562,0,0
"1405",2013-03-31,61030,2012,-1.991,-1.043,0,0
"1406",2014-03-31,61030,2013,-7.49,-8.752,0,NA
"1407",2015-03-31,61030,2014,-2.808,-8.953,0,NA
"1408",2016-03-31,61030,2015,-4.934,-2.329,0,NA
"1409",2017-03-31,61030,2016,1.376,-3.918,0,NA
"1410",2011-03-31,61298,2010,NA,NA,NA,NA
"1411",2012-03-31,61298,2011,NA,NA,NA,NA
"1412",2013-03-31,61298,2012,NA,NA,NA,NA
"1413",2014-03-31,61298,2013,NA,NA,NA,NA
"1414",2015-03-31,61298,2014,NA,NA,NA,NA
"1415",2011-03-31,61435,2010,-3.13,0.511,0,NA
"1416",2012-03-31,61435,2011,-1.429,0.22,0,0
"1417",2013-03-31,61435,2012,-3.928,-3.781,0.0721856201661415,0.124783362218371
"1418",2014-03-31,61435,2013,-3.314,-2.609,0.117960602549247,0.355944055944056
"1419",2015-03-31,61435,2014,-5.164,6.091,0.0572564185197121,NA
"1420",2011-04-30,61591,2010,673.1,1020,0.135360286158046,0.284470820969337
"1421",2012-04-30,61591,2011,605.4,-1191.4,0.126129055946624,0.249031670084302
"1422",2013-04-30,61591,2012,505.3,1736.6,0.200348679997154,0.41793149515716
"1423",2014-04-30,61591,2013,637.5,-994,0.107981169732732,0.34346536019873
"1424",2015-04-30,61591,2014,559.9,-310.3,0.158224481981024,0.277425491439442
"1425",2016-04-30,61591,2015,229,950,0.148450732290525,0.279235382308846
"1426",2017-04-30,61591,2016,509,-413,0.170968081744443,0.327680193821926
"1427",2011-03-31,61646,2010,67.936,24.979,0,0
"1428",2012-03-31,61646,2011,41.982,34.521,0,0
"1429",2013-03-31,61646,2012,-44.038,-32.602,0,0
"1430",2014-03-31,61646,2013,5.367,-52.433,0,0
"1431",2015-03-31,61646,2014,-58.007,-21.76,0,0
"1432",2016-03-31,61646,2015,-16.212,5.16,0,0
"1433",2017-03-31,61646,2016,-15.941,2.61,0,0
"1434",2011-03-31,62088,2010,-0.725,1.595,0,NA
"1435",2012-03-31,62088,2011,-3.551,-5.592,0,NA
"1436",2011-05-31,62169,2010,3.92,-19.682,0.0961165613245957,0.381926388166638
"1437",2012-05-31,62169,2011,12.696,14.042,0.170393817610878,1.08333905716968
"1438",2013-05-31,62169,2012,22.587,-8.459,0.138532765980848,1.29410820356398
"1439",2014-05-31,62169,2013,19.145,0.525000000000002,0.109596553824177,0.867979797979798
"1440",2015-05-31,62169,2014,13.544,-0.115999999999996,0.12272235290722,0.691365853658537
"1441",2016-05-31,62169,2015,-11.641,-4.233,0.170387515649111,0.933381180223286
"1442",2017-05-31,62169,2016,10.59,-4.485,0.142132913933878,0.792838476854156
"1443",2011-03-31,62221,2010,-35.95,14.73,0.321447067274762,6.25943396226415
"1444",2012-03-31,62221,2011,26.967,10.52,0.296817854627508,5.7423520138133
"1445",2013-03-31,62221,2012,78.296,31.205,0.268276332896429,5.9734082249892
"1446",2014-03-31,62221,2013,30.421,-9.179,0.254383854986186,6.94102365434575
"1447",2015-03-31,62221,2014,27.19,-44.212,0.2237447115079,6.35179708256053
"1448",2016-03-31,62221,2015,19.579,-13.581,0.346455053011213,12.4842679345546
"1449",2017-03-31,62221,2016,8.984,26.532,0.378257079319078,27.658307621611
"1450",2011-03-31,62922,2010,74.308,-3.154,0.00054354749670899,0.00222791356888878
"1451",2011-04-30,63057,2010,-16.665,1.571,0.424012497210444,Inf
"1452",2012-04-30,63057,2011,-16.662,0.321000000000001,0.507559292077671,Inf
"1453",2013-04-30,63057,2012,0.532,0.767,0.445488201072859,Inf
"1454",2014-04-30,63057,2013,-1.558,1.719,0.444863756574451,Inf
"1455",2015-04-30,63057,2014,-1.686,-1.752,0.431985696562797,Inf
"1456",2011-03-31,63876,2010,149.899,-118.369,0.293497637820992,Inf
"1457",2012-03-31,63876,2011,280.857,-8.29300000000001,0.254428940995096,5466.33018867925
"1458",2013-03-31,63876,2012,297.347,2.18400000000003,0.256556712108892,6362.98086124402
"1459",2014-03-31,63876,2013,206.256,-8.40100000000001,0.279183142656335,NA
"1460",2015-03-31,63876,2014,238.697,4.26099999999997,0.227268960265382,NA
"1461",2016-03-31,63876,2015,-1047.96,-11.712,0.293131900461894,NA
"1462",2017-03-31,63876,2016,-42.952,49.429,0.270987178906356,NA
"1463",2011-03-31,63986,2010,23.727,-9.327,0.0759595046922808,1.59062567189852
"1464",2012-03-31,63986,2011,23.367,-41.973,0.0646893619376141,Inf
"1465",2013-03-31,63986,2012,34.83,18.945,0.0953223773157452,Inf
"1466",2014-03-31,63986,2013,35.273,27.439,0.124381370238966,1.26942709197118
"1467",2015-03-31,63986,2014,45.84,-3.925,0.0989666623508869,2.26219804831227
"1468",2016-03-31,63986,2015,44.747,18.379,0.0768988778621003,1.20028347971348
"1469",2017-03-31,63986,2016,50.556,14.485,0.0504556975678153,0.735737034561397
"1470",2011-03-31,64088,2010,36.115,-49.5,0.238570497699445,71.813704496788
"1471",2012-03-31,64088,2011,7.496,132.225,0.318330223205472,7.81206041574901
"1472",2013-03-31,64088,2012,-41.172,-66.819,0.328124512282673,12.412317878002
"1473",2014-03-31,64088,2013,-9.446,-47.519,0.352845113679555,325.160789844852
"1474",2015-03-31,64088,2014,40.363,-5.57399999999996,0.37373110734079,396.779636005903
"1475",2016-03-31,64088,2015,21.741,-10.226,0.39667376881147,433.986357435198
"1476",2017-03-31,64088,2016,23.767,89.077,0.287265881983434,423.749875187219
"1477",2011-03-31,64121,2010,1.65,0.568,0.0346409608742719,NA
"1478",2012-03-31,64121,2011,0.184,-1.289,0.0227396103504433,NA
"1479",2013-03-31,64121,2012,0.448,-0.947,0.00729546638874414,NA
"1480",2014-03-31,64121,2013,0.596,0.783,0,NA
"1481",2015-03-31,64121,2014,1.15,4.31,0,NA
"1482",2016-03-31,64121,2015,1.251,-0.572,0,NA
"1483",2017-03-31,64121,2016,0.527,0.892,0,NA
